,conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags
147,hit:19_conv:39,4,guilty,There was a situation where I might of hurt my freinds feelings_comma_ I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.,26,I could see that happening but sounds like you were super brave.,4|4|5_3|5|2,
148,hit:20_conv:40,1,terrified,I was just on vacation in Biloxi. While hanging out on the balcony_comma_ I dropped some chips and then the balcony was swarmed by seagulls.,27,Hi I was recently on vacation and frightened half to death.,4|5|5_5|5|5,<HI>
149,hit:20_conv:40,2,terrified,I was just on vacation in Biloxi. While hanging out on the balcony_comma_ I dropped some chips and then the balcony was swarmed by seagulls.,9,Oh_comma_ my_comma_ what happened?,4|5|5_5|5|5,
150,hit:20_conv:40,3,terrified,I was just on vacation in Biloxi. While hanging out on the balcony_comma_ I dropped some chips and then the balcony was swarmed by seagulls.,27,I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls.,4|5|5_5|5|5,
151,hit:20_conv:40,4,terrified,I was just on vacation in Biloxi. While hanging out on the balcony_comma_ I dropped some chips and then the balcony was swarmed by seagulls.,9,I live near the ocean_comma_ so I do understand how this can be. I hope you ran_comma_ very quickly.,4|5|5_5|5|5,
152,hit:20_conv:40,5,terrified,I was just on vacation in Biloxi. While hanging out on the balcony_comma_ I dropped some chips and then the balcony was swarmed by seagulls.,27,I went inside. I donr know how dangerous they are but I didnt want to fall 7 stories.,4|5|5_5|5|5,
153,hit:20_conv:40,6,terrified,I was just on vacation in Biloxi. While hanging out on the balcony_comma_ I dropped some chips and then the balcony was swarmed by seagulls.,9,I heard a story of seagulls drowning a man to death.,4|5|5_5|5|5,
154,hit:20_conv:41,1,furious,My mom took away my game system_comma_ and would not give it back ever again.,9,When i was younger_comma_ my mother would always take away my PC because I would always play video games on them.,5|5|5_4|5|5,
155,hit:20_conv:41,2,furious,My mom took away my game system_comma_ and would not give it back ever again.,27,I was the same way.,5|5|5_4|5|5,
156,hit:20_conv:41,3,furious,My mom took away my game system_comma_ and would not give it back ever again.,9,Now that I am older though_comma_ my girlfriend tries to take away my Pc. Very rough days in my life.,5|5|5_4|5|5,
157,hit:20_conv:41,4,furious,My mom took away my game system_comma_ and would not give it back ever again.,27,Lol. I take away my daughters now. I guess my mom passed the torch.,5|5|5_4|5|5,
158,hit:20_conv:41,5,furious,My mom took away my game system_comma_ and would not give it back ever again.,9,Stop doing that_comma_ it is very important to have a pc. The internet is the future and very many jobs are opening up online.,5|5|5_4|5|5,
159,hit:20_conv:41,6,furious,My mom took away my game system_comma_ and would not give it back ever again.,27,She is 13 not at 3am,5|5|5_4|5|5,
160,hit:20_conv:41,7,furious,My mom took away my game system_comma_ and would not give it back ever again.,9,I think at 3am the mind is truly it's sharpest and can make great content. I do understand the age thing though. Maybe slowly give her more time as she gets older. At 15 to 16 it gets hard to control all together.,5|5|5_4|5|5,
161,hit:21_conv:42,1,disappointed,One of my friend didn't keep this promise he made to me.,7,One of my friend didn't keep this promise he made to me. I was so angry to him.,5|5|4_4|3|5,
162,hit:21_conv:42,2,disappointed,One of my friend didn't keep this promise he made to me.,28,What promise didn't he keep?,5|5|4_4|3|5,
163,hit:21_conv:42,3,disappointed,One of my friend didn't keep this promise he made to me.,7,I was suppose to help me move from my apartment. He didn't come and turned off his cell phone.,5|5|4_4|3|5,
164,hit:21_conv:42,4,disappointed,One of my friend didn't keep this promise he made to me.,28,Wow that sounds like a terrible friend.  I hope he had a good reason for not showing up.,5|5|4_4|3|5,
165,hit:21_conv:43,1,faithful,There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.,28,There were times where I was being seduced by a coworker of mine as a married man.,4|3|5_5|5|4,
166,hit:21_conv:43,2,faithful,There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.,7,Wow. Did he have kids?,4|3|5_5|5|4,
167,hit:21_conv:43,3,faithful,There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.,28,I was the one who was being seduced as the married man.  Good thing I remained committed to my wife and did not cheat.,4|3|5_5|5|4,
168,hit:21_conv:43,4,faithful,There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.,7,Ah ok. Good you stayed committed to your wife.,4|3|5_5|5|4,
169,hit:22_conv:44,1,caring,I look out for all my students_comma_ if they are struggling_comma_ I take however much time they need to understand.,29,I am an English Tutor for Chinese students_comma_ when they struggle with a topic_comma_ I always take extra time to help them along and make sure they understand,5|5|5_5|5|5,
170,hit:22_conv:44,2,caring,I look out for all my students_comma_ if they are struggling_comma_ I take however much time they need to understand.,30,That is very inspiring_comma_ I'm glad you take the extra time. Do you like doing what you do?,5|5|5_5|5|5,
171,hit:22_conv:44,3,caring,I look out for all my students_comma_ if they are struggling_comma_ I take however much time they need to understand.,29,I like it very much_comma_ seeing a kid grasp a new concept and very quickly and finding effective ways to do it is a blast.,5|5|5_5|5|5,
172,hit:22_conv:44,4,caring,I look out for all my students_comma_ if they are struggling_comma_ I take however much time they need to understand.,30,That is awesome_comma_ thanks for taking the time to help kids grasp a new language! You deserve to be appreciated_comma_ but I'm sure they appreciate you a lot.,5|5|5_5|5|5,
173,hit:22_conv:45,1,sad,I felt sad when my dog passed away. It was a pet that I had since I was 3 years old_comma_ and was one of the saddest days of my life.,30,Have you ever had a pet that you had to put down? I was so heartbroken when my dog of 16 years had to be put down. this was years ago but it still makes me sad to this day.,5|5|5_5|5|5,
174,hit:22_conv:45,2,sad,I felt sad when my dog passed away. It was a pet that I had since I was 3 years old_comma_ and was one of the saddest days of my life.,29,That is heartbreaking_comma_ it's always helped me to remember that no matter what happens_comma_ you have your memories with them.,5|5|5_5|5|5,
175,hit:22_conv:45,3,sad,I felt sad when my dog passed away. It was a pet that I had since I was 3 years old_comma_ and was one of the saddest days of my life.,30,That is true_comma_ we got her when I was 3 years old so I kind of grew up with her_comma_ I'll never forget those memories.,5|5|5_5|5|5,
176,hit:22_conv:45,4,sad,I felt sad when my dog passed away. It was a pet that I had since I was 3 years old_comma_ and was one of the saddest days of my life.,29,Absolutely_comma_ it's a chapter of your life and as long as you have those memories they live on through those memories.,5|5|5_5|5|5,
177,hit:23_conv:46,1,disappointed,Yesterday_comma_ I was really craving Dairy Queen. So_comma_ I got in my car and went to grab some Blizzards. When I got there_comma_ they were closed. ,31,I drove to Dairy Queen but it was closed. ,5|5|5_5|5|5,
178,hit:23_conv:46,2,disappointed,Yesterday_comma_ I was really craving Dairy Queen. So_comma_ I got in my car and went to grab some Blizzards. When I got there_comma_ they were closed. ,32,I'm sorry to hear that.  That must have been frustrating.,5|5|5_5|5|5,
179,hit:23_conv:46,3,disappointed,Yesterday_comma_ I was really craving Dairy Queen. So_comma_ I got in my car and went to grab some Blizzards. When I got there_comma_ they were closed. ,31,I just really wanted some ice cream! Now I know their hours_comma_ though.,5|5|5_5|5|5,
180,hit:23_conv:46,4,disappointed,Yesterday_comma_ I was really craving Dairy Queen. So_comma_ I got in my car and went to grab some Blizzards. When I got there_comma_ they were closed. ,32,Hopefully you were able to get the ice cream that you wanted in the following days.,5|5|5_5|5|5,
181,hit:23_conv:47,1,grateful,A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.,32,One time I had a flat tire and my dad came to help me fix it.,5|5|5_5|5|5,
182,hit:23_conv:47,2,grateful,A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.,31,Oh no! Glad your dad was able to help. How did it happen?,5|5|5_5|5|5,
183,hit:23_conv:47,3,grateful,A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.,32,I ran over a nail in the road.  Now I know not to drive near new houses.,5|5|5_5|5|5,
184,hit:23_conv:47,4,grateful,A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.,31,That's some bad luck. I hope it wasn't too much of a hassle.,5|5|5_5|5|5,
185,hit:24_conv:48,1,sentimental,Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,33,My kid's birthday are coming up again. It always makes me remember them as babies.,5|5|5_4|5|4,
186,hit:24_conv:48,2,sentimental,Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,34,Awe how sweet_comma_ I bet those are good memories,5|5|5_4|5|4,
187,hit:24_conv:48,3,sentimental,Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,33,They are. All the sights and sounds of babies are so precious to remember.,5|5|5_4|5|4,
188,hit:24_conv:48,4,sentimental,Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,34,I agree with that for sure. ,5|5|5_4|5|4,
189,hit:24_conv:49,1,excited,When I was little and I found out that we were going to the amusement park . ,34,When I was a little child my parents told me that we were going to the amusement park and it made me so happy,4|5|4_5|5|5,
190,hit:24_conv:49,2,excited,When I was little and I found out that we were going to the amusement park . ,33,I bet! That sounds like fun.,4|5|4_5|5|5,
191,hit:24_conv:49,3,excited,When I was little and I found out that we were going to the amusement park . ,34,It was fun for sure_comma_ all the rides and the food_comma_ it brings back great memories.,4|5|4_5|5|5,
192,hit:24_conv:49,4,excited,When I was little and I found out that we were going to the amusement park . ,33,What sweet memories to hold on to.,4|5|4_5|5|5,
193,hit:24_conv:49,5,excited,When I was little and I found out that we were going to the amusement park . ,34,Have you ever been to the amusement park?,4|5|4_5|5|5,
